customer_id,customer_name,registration_date
1,Customer_0001,2025-01-01
2,Customer_0002,2025-01-03
3,Customer_0003,2025-01-05
4,Customer_0004,2025-01-07
5,Customer_0005,2025-01-09
6,Customer_0006,2025-01-11
7,Customer_0007,2025-01-13
8,Customer_0008,2025-01-15
9,Customer_0009,2025-01-17
10,Customer_0010,2025-01-19
11,Customer_0011,2025-01-21
12,Customer_0012,2025-01-23
13,Customer_0013,2025-01-25
14,Customer_0014,2025-01-27
15,Customer_0015,2025-01-29
16,Customer_0016,2025-01-31
17,Customer_0017,2025-02-02
18,Customer_0018,2025-02-04
19,Customer_0019,2025-02-06
20,Customer_0020,2025-02-08
21,Customer_0021,2025-02-10
22,Customer_0022,2025-02-12
23,Customer_0023,2025-02-14
24,Customer_0024,2025-02-16
25,Customer_0025,2025-02-18
26,Customer_0026,2025-02-20
27,Customer_0027,2025-02-22
28,Customer_0028,2025-02-24
29,Customer_0029,2025-02-26
30,Customer_0030,2025-02-28
31,Customer_0031,2025-03-02
32,Customer_0032,2025-03-04
33,Customer_0033,2025-03-06
34,Customer_0034,2025-03-08
35,Customer_0035,2025-03-10
36,Customer_0036,2025-03-12
37,Customer_0037,2025-03-14
38,Customer_0038,2025-03-16
39,Customer_0039,2025-03-18
40,Customer_0040,2025-03-20
41,Customer_0041,2025-03-22
42,Customer_0042,2025-03-24
43,Customer_0043,2025-03-26
44,Customer_0044,2025-03-28
45,Customer_0045,2025-03-30
46,Customer_0046,2025-04-01
47,Customer_0047,2025-04-03
48,Customer_0048,2025-04-05
49,Customer_0049,2025-04-07
50,Customer_0050,2025-04-09
51,Customer_0051,2025-04-11
52,Customer_0052,2025-04-13
53,Customer_0053,2025-04-15
54,Customer_0054,2025-04-17
55,Customer_0055,2025-04-19
56,Customer_0056,2025-04-21
57,Customer_0057,2025-04-23
58,Customer_0058,2025-04-25
59,Customer_0059,2025-04-27
60,Customer_0060,2025-04-29
61,Customer_0061,2025-05-01
62,Customer_0062,2025-05-03
63,Customer_0063,2025-05-05
64,Customer_0064,2025-05-07
65,Customer_0065,2025-05-09
66,Customer_0066,2025-05-11
67,Customer_0067,2025-05-13
68,Customer_0068,2025-05-15
69,Customer_0069,2025-05-17
70,Customer_0070,2025-05-19
71,Customer_0071,2025-05-21
72,Customer_0072,2025-05-23
73,Customer_0073,2025-05-25
74,Customer_0074,2025-05-27
75,Customer_0075,2025-05-29
76,Customer_0076,2025-05-31
77,Customer_0077,2025-06-02
78,Customer_0078,2025-06-04
79,Customer_0079,2025-06-06
80,Customer_0080,2025-06-08
81,Customer_0081,2025-06-10
82,Customer_0082,2025-06-12
83,Customer_0083,2025-06-14
84,Customer_0084,2025-06-16
85,Customer_0085,2025-06-18
86,Customer_0086,2025-06-20
87,Customer_0087,2025-06-22
88,Customer_0088,2025-06-24
89,Customer_0089,2025-06-26
90,Customer_0090,2025-06-28
91,Customer_0091,2025-06-30
92,Customer_0092,2025-07-02
93,Customer_0093,2025-07-04
94,Customer_0094,2025-07-06
95,Customer_0095,2025-07-08
96,Customer_0096,2025-07-10
97,Customer_0097,2025-07-12
98,Customer_0098,2025-07-14
99,Customer_0099,2025-07-16
100,Customer_0100,2025-07-18
101,Customer_0101,2025-07-20
102,Customer_0102,2025-07-22
103,Customer_0103,2025-07-24
104,Customer_0104,2025-07-26
105,Customer_0105,2025-07-28
106,Customer_0106,2025-07-30
107,Customer_0107,2025-08-01
108,Customer_0108,2025-08-03
109,Customer_0109,2025-08-05
110,Customer_0110,2025-08-07
111,Customer_0111,2025-08-09
112,Customer_0112,2025-08-11
113,Customer_0113,2025-08-13
114,Customer_0114,2025-08-15
115,Customer_0115,2025-08-17
116,Customer_0116,2025-08-19
117,Customer_0117,2025-08-21
118,Customer_0118,2025-08-23
119,Customer_0119,2025-08-25
120,Customer_0120,2025-08-27
121,Customer_0121,2025-08-29
122,Customer_0122,2025-08-31
123,Customer_0123,2025-09-02
124,Customer_0124,2025-09-04
125,Customer_0125,2025-09-06
126,Customer_0126,2025-09-08
127,Customer_0127,2025-09-10
128,Customer_0128,2025-09-12
129,Customer_0129,2025-09-14
130,Customer_0130,2025-09-16
131,Customer_0131,2025-09-18
132,Customer_0132,2025-09-20
133,Customer_0133,2025-09-22
134,Customer_0134,2025-09-24
135,Customer_0135,2025-09-26
136,Customer_0136,2025-09-28
137,Customer_0137,2025-09-30
138,Customer_0138,2025-10-02
139,Customer_0139,2025-10-04
140,Customer_0140,2025-10-06
141,Customer_0141,2025-10-08
142,Customer_0142,2025-10-10
143,Customer_0143,2025-10-12
144,Customer_0144,2025-10-14
145,Customer_0145,2025-10-16
146,Customer_0146,2025-10-18
147,Customer_0147,2025-10-20
148,Customer_0148,2025-10-22
149,Customer_0149,2025-10-24
150,Customer_0150,2025-10-26
151,Customer_0151,2025-10-28
152,Customer_0152,2025-10-30
153,Customer_0153,2025-11-01
154,Customer_0154,2025-11-03
155,Customer_0155,2025-11-05
156,Customer_0156,2025-11-07
157,Customer_0157,2025-11-09
158,Customer_0158,2025-11-11
159,Customer_0159,2025-11-13
160,Customer_0160,2025-11-15
161,Customer_0161,2025-11-17
162,Customer_0162,2025-11-19
163,Customer_0163,2025-11-21
164,Customer_0164,2025-11-23
165,Customer_0165,2025-11-25
166,Customer_0166,2025-11-27
167,Customer_0167,2025-11-29
168,Customer_0168,2025-12-01
169,Customer_0169,2025-12-03
170,Customer_0170,2025-12-05
171,Customer_0171,2025-12-07
172,Customer_0172,2025-12-09
173,Customer_0173,2025-12-11
174,Customer_0174,2025-12-13
175,Customer_0175,2025-12-15
176,Customer_0176,2025-12-17
177,Customer_0177,2025-12-19
178,Customer_0178,2025-12-21
179,Customer_0179,2025-12-23
180,Customer_0180,2025-12-25
181,Customer_0181,2025-12-27
182,Customer_0182,2025-12-29
183,Customer_0183,2025-12-31
184,Customer_0184,2026-01-02
185,Customer_0185,2026-01-04
186,Customer_0186,2026-01-06
187,Customer_0187,2026-01-08
188,Customer_0188,2026-01-10
189,Customer_0189,2026-01-12
190,Customer_0190,2026-01-14
191,Customer_0191,2026-01-16
192,Customer_0192,2026-01-18
193,Customer_0193,2026-01-20
194,Customer_0194,2026-01-22
195,Customer_0195,2026-01-24
196,Customer_0196,2026-01-26
197,Customer_0197,2026-01-28
198,Customer_0198,2026-01-30
199,Customer_0199,2026-02-01
200,Customer_0200,2026-02-03
201,Customer_0201,2026-02-05
202,Customer_0202,2026-02-07
203,Customer_0203,2026-02-09
204,Customer_0204,2026-02-11
205,Customer_0205,2026-02-13
206,Customer_0206,2026-02-15
207,Customer_0207,2026-02-17
208,Customer_0208,2026-02-19
209,Customer_0209,2026-02-21
210,Customer_0210,2026-02-23
211,Customer_0211,2026-02-25
212,Customer_0212,2026-02-27
213,Customer_0213,2026-03-01
214,Customer_0214,2026-03-03
215,Customer_0215,2026-03-05
216,Customer_0216,2026-03-07
217,Customer_0217,2026-03-09
218,Customer_0218,2026-03-11
219,Customer_0219,2026-03-13
220,Customer_0220,2026-03-15
221,Customer_0221,2026-03-17
222,Customer_0222,2026-03-19
223,Customer_0223,2026-03-21
224,Customer_0224,2026-03-23
225,Customer_0225,2026-03-25
226,Customer_0226,2026-03-27
227,Customer_0227,2026-03-29
228,Customer_0228,2026-03-31
229,Customer_0229,2026-04-02
230,Customer_0230,2026-04-04
231,Customer_0231,2026-04-06
232,Customer_0232,2026-04-08
233,Customer_0233,2026-04-10
234,Customer_0234,2026-04-12
235,Customer_0235,2026-04-14
236,Customer_0236,2026-04-16
237,Customer_0237,2026-04-18
238,Customer_0238,2026-04-20
239,Customer_0239,2026-04-22
240,Customer_0240,2026-04-24
241,Customer_0241,2026-04-26
242,Customer_0242,2026-04-28
243,Customer_0243,2026-04-30
244,Customer_0244,2026-05-02
245,Customer_0245,2026-05-04
246,Customer_0246,2026-05-06
